LaneID,Origin,Destination,Distance,Freight Type,CarrierID,CarrierType,BidPrice
Lane-0001,"Chicago, IL","Atlanta, GA",700,Dry Van,B001,Broker,1103.41
Lane-0002,"Chicago, IL","Boston, MA",1000,Dry Van,B001,Broker,1932.08
Lane-0003,"Chicago, IL","Charlotte, NC",750,Dry Van,B001,Broker,1473.04
Lane-0004,"Chicago, IL","Denver, CO",1000,Dry Van,B001,Broker,1536.06
Lane-0005,"Chicago, IL","Houston, TX",1100,Dry Van,B001,Broker,1907.49
Lane-0006,"Chicago, IL","Indianapolis, IN",180,Dry Van,B001,Broker,325.71
Lane-0007,"Chicago, IL","Jacksonville, FL",1000,Dry Van,B001,Broker,1437.32
Lane-0008,"Chicago, IL","Kansas City, MO",550,Dry Van,B001,Broker,882.26
Lane-0009,"Chicago, IL","Las Vegas, NV",1750,Dry Van,B001,Broker,3193.92
Lane-0010,"Chicago, IL","Miami, FL",1400,Dry Van,B001,Broker,2736.11
Lane-0011,"Chicago, IL","Minneapolis, MN",400,Dry Van,B001,Broker,675.37
Lane-0012,"Chicago, IL","Nashville, TN",450,Dry Van,B001,Broker,922.07
Lane-0013,"Chicago, IL","New Orleans, LA",900,Dry Van,B001,Broker,1549.68
Lane-0014,"Chicago, IL","New York, NY",800,Dry Van,B001,Broker,1583.92
Lane-0015,"Chicago, IL","Phoenix, AZ",1750,Dry Van,B001,Broker,2636.93
Lane-0016,"Chicago, IL","Pittsburgh, PA",450,Dry Van,B001,Broker,686.09
Lane-0017,"Chicago, IL","Portland, OR",2100,Dry Van,B001,Broker,4005.29
Lane-0018,"Chicago, IL","Salt Lake City, UT",1400,Dry Van,B001,Broker,2101.84
Lane-0019,"Chicago, IL","San Antonio, TX",1200,Dry Van,B001,Broker,2179.75
Lane-0020,"Chicago, IL","Seattle, WA",2000,Dry Van,B001,Broker,3334.44
Lane-0021,"Chicago, IL","St. Louis, MO",300,Dry Van,B001,Broker,515.41
Lane-0022,"Dallas, TX","Atlanta, GA",800,Dry Van,B001,Broker,1359.19
Lane-0023,"Dallas, TX","Boston, MA",1550,Dry Van,B001,Broker,2842.43
Lane-0024,"Dallas, TX","Charlotte, NC",1000,Dry Van,B001,Broker,1968.39
Lane-0025,"Dallas, TX","Denver, CO",800,Dry Van,B001,Broker,1544.79
Lane-0026,"Dallas, TX","Houston, TX",250,Dry Van,B001,Broker,378.82
Lane-0027,"Dallas, TX","Indianapolis, IN",900,Dry Van,B001,Broker,1348.69
Lane-0028,"Dallas, TX","Jacksonville, FL",1000,Dry Van,B001,Broker,1688.67
Lane-0029,"Dallas, TX","Kansas City, MO",550,Dry Van,B001,Broker,1177.04
Lane-0030,"Dallas, TX","Las Vegas, NV",1200,Dry Van,B001,Broker,1961.59
Lane-0031,"Dallas, TX","Miami, FL",1300,Dry Van,B001,Broker,2160.71
Lane-0032,"Dallas, TX","Minneapolis, MN",1000,Dry Van,B001,Broker,1514.76
Lane-0033,"Dallas, TX","Nashville, TN",650,Dry Van,B001,Broker,933.92
Lane-0034,"Dallas, TX","New Orleans, LA",500,Dry Van,B001,Broker,1032.67
Lane-0035,"Dallas, TX","New York, NY",1550,Dry Van,B001,Broker,2839.09
Lane-0036,"Dallas, TX","Phoenix, AZ",1050,Dry Van,B001,Broker,1662.65
Lane-0037,"Dallas, TX","Pittsburgh, PA",1200,Dry Van,B001,Broker,2222.1
Lane-0038,"Dallas, TX","Portland, OR",2000,Dry Van,B001,Broker,3479.09
Lane-0039,"Dallas, TX","Salt Lake City, UT",1200,Dry Van,B001,Broker,2128.2
Lane-0040,"Dallas, TX","San Antonio, TX",300,Dry Van,B001,Broker,523.8
Lane-0041,"Dallas, TX","Seattle, WA",2100,Dry Van,B001,Broker,3669.49
Lane-0042,"Dallas, TX","St. Louis, MO",600,Dry Van,B001,Broker,1110.96
Lane-0043,"Los Angeles, CA","Atlanta, GA",2150,Dry Van,B001,Broker,3818.2
Lane-0044,"Los Angeles, CA","Boston, MA",2900,Dry Van,B001,Broker,5419.39
Lane-0045,"Los Angeles, CA","Charlotte, NC",2400,Dry Van,B001,Broker,4240.66
Lane-0046,"Los Angeles, CA","Denver, CO",1050,Dry Van,B001,Broker,1820.46
