LaneID,Origin,Destination,Distance,Freight Type,CarrierID,CarrierType,BidPrice
Lane-0001,"Chicago, IL","Atlanta, GA",700,Dry Van,A002,Asset,1201.64
Lane-0002,"Chicago, IL","Boston, MA",1000,Dry Van,A002,Asset,1712.6
Lane-0003,"Chicago, IL","Charlotte, NC",750,Dry Van,A002,Asset,1311.44
Lane-0004,"Chicago, IL","Denver, CO",1000,Dry Van,A002,Asset,1878.41
Lane-0005,"Chicago, IL","Houston, TX",1100,Dry Van,A002,Asset,1801.34
Lane-0006,"Chicago, IL","Indianapolis, IN",180,Dry Van,A002,Asset,278.41
Lane-0007,"Chicago, IL","Jacksonville, FL",1000,Dry Van,A002,Asset,1638.13
Lane-0008,"Chicago, IL","Kansas City, MO",550,Dry Van,A002,Asset,915.43
Lane-0009,"Chicago, IL","Las Vegas, NV",1750,Dry Van,A002,Asset,3310.91
Lane-0010,"Chicago, IL","Miami, FL",1400,Dry Van,A002,Asset,2406.38
Lane-0011,"Chicago, IL","Minneapolis, MN",400,Dry Van,A002,Asset,667.86
Lane-0012,"Chicago, IL","Nashville, TN",450,Dry Van,A002,Asset,684.62
Lane-0013,"Chicago, IL","New Orleans, LA",900,Dry Van,A002,Asset,1682.06
Lane-0014,"Chicago, IL","New York, NY",800,Dry Van,A002,Asset,1371.78
Lane-0015,"Chicago, IL","Phoenix, AZ",1750,Dry Van,A002,Asset,3073.95
Lane-0016,"Chicago, IL","Pittsburgh, PA",450,Dry Van,A002,Asset,730.35
Lane-0017,"Chicago, IL","Portland, OR",2100,Dry Van,A002,Asset,3119.91
Lane-0018,"Chicago, IL","Salt Lake City, UT",1400,Dry Van,A002,Asset,2602.76
Lane-0019,"Chicago, IL","San Antonio, TX",1200,Dry Van,A002,Asset,2287.39
Lane-0020,"Chicago, IL","Seattle, WA",2000,Dry Van,A002,Asset,3402.3
Lane-0021,"Chicago, IL","St. Louis, MO",300,Dry Van,A002,Asset,508.63
Lane-0022,"Dallas, TX","Atlanta, GA",800,Dry Van,A002,Asset,1457.19
Lane-0023,"Dallas, TX","Boston, MA",1550,Dry Van,A002,Asset,2331.82
Lane-0024,"Dallas, TX","Charlotte, NC",1000,Dry Van,A002,Asset,1462.46
Lane-0025,"Dallas, TX","Denver, CO",800,Dry Van,A002,Asset,1270.97
Lane-0026,"Dallas, TX","Houston, TX",250,Dry Van,A002,Asset,411.49
Lane-0027,"Dallas, TX","Indianapolis, IN",900,Dry Van,A002,Asset,1566.66
Lane-0028,"Dallas, TX","Jacksonville, FL",1000,Dry Van,A002,Asset,1767.8
Lane-0029,"Dallas, TX","Kansas City, MO",550,Dry Van,A002,Asset,1006.35
Lane-0030,"Dallas, TX","Las Vegas, NV",1200,Dry Van,A002,Asset,1956.6
Lane-0031,"Dallas, TX","Miami, FL",1300,Dry Van,A002,Asset,2285.01
Lane-0032,"Dallas, TX","Minneapolis, MN",1000,Dry Van,A002,Asset,1841.14
Lane-0033,"Dallas, TX","Nashville, TN",650,Dry Van,A002,Asset,940.13
Lane-0034,"Dallas, TX","New Orleans, LA",500,Dry Van,A002,Asset,903.42
Lane-0035,"Dallas, TX","New York, NY",1550,Dry Van,A002,Asset,2473.61
Lane-0036,"Dallas, TX","Phoenix, AZ",1050,Dry Van,A002,Asset,1693.69
Lane-0037,"Dallas, TX","Pittsburgh, PA",1200,Dry Van,A002,Asset,2024.79
Lane-0038,"Dallas, TX","Portland, OR",2000,Dry Van,A002,Asset,3389.09
Lane-0039,"Dallas, TX","Salt Lake City, UT",1200,Dry Van,A002,Asset,1970.69
Lane-0040,"Dallas, TX","San Antonio, TX",300,Dry Van,A002,Asset,468.33
Lane-0041,"Dallas, TX","Seattle, WA",2100,Dry Van,A002,Asset,3266.62
Lane-0042,"Dallas, TX","St. Louis, MO",600,Dry Van,A002,Asset,860.44
Lane-0043,"Los Angeles, CA","Atlanta, GA",2150,Dry Van,A002,Asset,3400.32
Lane-0044,"Los Angeles, CA","Boston, MA",2900,Dry Van,A002,Asset,5253.37
Lane-0045,"Los Angeles, CA","Charlotte, NC",2400,Dry Van,A002,Asset,3881.06
Lane-0046,"Los Angeles, CA","Denver, CO",1050,Dry Van,A002,Asset,1787.86
Lane-0047,"Los Angeles, CA","Houston, TX",1550,Dry Van,A002,Asset,2548.47
Lane-0048,"Los Angeles, CA","Indianapolis, IN",2050,Dry Van,A002,Asset,3601.4
Lane-0049,"Los Angeles, CA","Jacksonville, FL",2400,Dry Van,A002,Asset,3716.05
Lane-0050,"Los Angeles, CA","Kansas City, MO",1600,Dry Van,A002,Asset,2953.42
Lane-0051,"Los Angeles, CA","Las Vegas, NV",270,Dry Van,A002,Asset,462.41
Lane-0052,"Los Angeles, CA","Miami, FL",2700,Dry Van,A002,Asset,4661.95
Lane-0053,"Los Angeles, CA","Minneapolis, MN",1900,Dry Van,A002,Asset,3616.57
Lane-0054,"Los Angeles, CA","Nashville, TN",2000,Dry Van,A002,Asset,3582.63
Lane-0055,"Los Angeles, CA","New Orleans, LA",1900,Dry Van,A002,Asset,3199.03
Lane-0056,"Los Angeles, CA","New York, NY",2800,Dry Van,A002,Asset,4306.06
Lane-0057,"Los Angeles, CA","Phoenix, AZ",400,Dry Van,A002,Asset,692.32
Lane-0058,"Los Angeles, CA","Pittsburgh, PA",2400,Dry Van,A002,Asset,3934.64
Lane-0059,"Los Angeles, CA","Portland, OR",950,Dry Van,A002,Asset,1711.27
Lane-0060,"Los Angeles, CA","Salt Lake City, UT",700,Dry Van,A002,Asset,1158.52
Lane-0061,"Los Angeles, CA","San Antonio, TX",1350,Dry Van,A002,Asset,2385.06
Lane-0062,"Los Angeles, CA","Seattle, WA",1200,Dry Van,A002,Asset,2050.62
Lane-0063,"Los Angeles, CA","St. Louis, MO",1800,Dry Van,A002,Asset,3111.39
