LaneID,Origin,Destination,Distance,Freight Type,CarrierID,CarrierType,BidPrice
Lane-0001,"Chicago, IL","Atlanta, GA",700,Dry Van,B003,Broker,1265.99
Lane-0002,"Chicago, IL","Boston, MA",1000,Dry Van,B003,Broker,1819.36
Lane-0003,"Chicago, IL","Charlotte, NC",750,Dry Van,B003,Broker,1268.69
Lane-0004,"Chicago, IL","Denver, CO",1000,Dry Van,B003,Broker,1654.96
Lane-0005,"Chicago, IL","Houston, TX",1100,Dry Van,B003,Broker,1904.48
Lane-0006,"Chicago, IL","Indianapolis, IN",180,Dry Van,B003,Broker,335.2
Lane-0007,"Chicago, IL","Jacksonville, FL",1000,Dry Van,B003,Broker,1953.84
Lane-0008,"Chicago, IL","Kansas City, MO",550,Dry Van,B003,Broker,1090.2
Lane-0009,"Chicago, IL","Las Vegas, NV",1750,Dry Van,B003,Broker,2760.02
Lane-0010,"Chicago, IL","Miami, FL",1400,Dry Van,B003,Broker,2435.5
Lane-0011,"Chicago, IL","Minneapolis, MN",400,Dry Van,B003,Broker,645.2
Lane-0012,"Chicago, IL","Nashville, TN",450,Dry Van,B003,Broker,870.52
Lane-0013,"Chicago, IL","New Orleans, LA",900,Dry Van,B003,Broker,1466.66
Lane-0014,"Chicago, IL","New York, NY",800,Dry Van,B003,Broker,1440.15
Lane-0015,"Chicago, IL","Phoenix, AZ",1750,Dry Van,B003,Broker,2835.55
Lane-0016,"Chicago, IL","Pittsburgh, PA",450,Dry Van,B003,Broker,815.31
Lane-0017,"Chicago, IL","Portland, OR",2100,Dry Van,B003,Broker,4243.38
Lane-0018,"Chicago, IL","Salt Lake City, UT",1400,Dry Van,B003,Broker,2639.7
Lane-0019,"Chicago, IL","San Antonio, TX",1200,Dry Van,B003,Broker,2075.53
Lane-0020,"Chicago, IL","Seattle, WA",2000,Dry Van,B003,Broker,4223.71
Lane-0021,"Chicago, IL","St. Louis, MO",300,Dry Van,B003,Broker,493.46
Lane-0022,"Dallas, TX","Atlanta, GA",800,Dry Van,B003,Broker,1605.41
Lane-0023,"Dallas, TX","Boston, MA",1550,Dry Van,B003,Broker,2515.36
Lane-0024,"Dallas, TX","Charlotte, NC",1000,Dry Van,B003,Broker,1933.92
Lane-0025,"Dallas, TX","Denver, CO",800,Dry Van,B003,Broker,1666.67
Lane-0026,"Dallas, TX","Houston, TX",250,Dry Van,B003,Broker,373.87
Lane-0027,"Dallas, TX","Indianapolis, IN",900,Dry Van,B003,Broker,1612.84
Lane-0028,"Dallas, TX","Jacksonville, FL",1000,Dry Van,B003,Broker,1813.31
Lane-0029,"Dallas, TX","Kansas City, MO",550,Dry Van,B003,Broker,1003.15
Lane-0030,"Dallas, TX","Las Vegas, NV",1200,Dry Van,B003,Broker,1907.05
Lane-0031,"Dallas, TX","Miami, FL",1300,Dry Van,B003,Broker,2288.96
Lane-0032,"Dallas, TX","Minneapolis, MN",1000,Dry Van,B003,Broker,1475.56
Lane-0033,"Dallas, TX","Nashville, TN",650,Dry Van,B003,Broker,1106.98
Lane-0034,"Dallas, TX","New Orleans, LA",500,Dry Van,B003,Broker,913.96
Lane-0035,"Dallas, TX","New York, NY",1550,Dry Van,B003,Broker,2795.89
Lane-0036,"Dallas, TX","Phoenix, AZ",1050,Dry Van,B003,Broker,1550.92
Lane-0037,"Dallas, TX","Pittsburgh, PA",1200,Dry Van,B003,Broker,2218.29
Lane-0038,"Dallas, TX","Portland, OR",2000,Dry Van,B003,Broker,3397.82
Lane-0039,"Dallas, TX","Salt Lake City, UT",1200,Dry Van,B003,Broker,1782.94
Lane-0040,"Dallas, TX","San Antonio, TX",300,Dry Van,B003,Broker,561.37
Lane-0041,"Dallas, TX","Seattle, WA",2100,Dry Van,B003,Broker,3578.68
Lane-0042,"Dallas, TX","St. Louis, MO",600,Dry Van,B003,Broker,1079.39
Lane-0043,"Los Angeles, CA","Atlanta, GA",2150,Dry Van,B003,Broker,4245.35
Lane-0044,"Los Angeles, CA","Boston, MA",2900,Dry Van,B003,Broker,4906.2
Lane-0045,"Los Angeles, CA","Charlotte, NC",2400,Dry Van,B003,Broker,4304.59
Lane-0046,"Los Angeles, CA","Denver, CO",1050,Dry Van,B003,Broker,2005.43
Lane-0047,"Los Angeles, CA","Houston, TX",1550,Dry Van,B003,Broker,2671.71
Lane-0048,"Los Angeles, CA","Indianapolis, IN",2050,Dry Van,B003,Broker,3682.52
Lane-0049,"Los Angeles, CA","Jacksonville, FL",2400,Dry Van,B003,Broker,4130.93
Lane-0050,"Los Angeles, CA","Kansas City, MO",1600,Dry Van,B003,Broker,2876.06
